Unnamed: 0,house_id,city,street,montly_rent,deposit_value,house_rules,size,lat_long,scrapy_datetime,lat,long
0,1719697,Berlin,Nürnberger Straße,EUR 850,EUR 1700,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'Private kitchenware', 'Washing machine', 'Closet', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Property: 22 m2,"['52.50027', '13.33596']",2021/05/13 - 12:16:03,52.50027,13.33596
1,1716752,Berlin,Schnellerstraße,EUR 450,EUR 900,"['Shared toilet', 'Shared kitchen', 'Unisex bathroom', 'Shared balcony', 'No Parking', 'No living room', 'WiFi', 'Bed', 'Bedroom lock', 'Shared kitchenware', 'Washing machine', 'Closet', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Property: 90 m2,"['52.45495', '13.51636']",2021/05/13 - 12:16:05,52.45495,13.51636
2,1716755,Berlin,Schnellerstraße,EUR 475,EUR 950,"['Shared toilet', 'Shared kitchen', 'Unisex bathroom', 'Shared balcony', 'No Parking', 'No living room', 'WiFi', 'Bed', 'Bedroom lock', 'Shared kitchenware', 'Washing machine', 'Closet', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Property: 90 m2,"['52.45495', '13.51636']",2021/05/13 - 12:16:07,52.45495,13.51636
3,1724139,Berlin,Otto-Braun-Straße,EUR 760,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Property: 25 m2,"['52.52449', '13.41863']",2021/05/13 - 12:16:09,52.52449,13.41863
4,1721869,Berlin,Otto-Braun-Straße,EUR 760,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Property: 25 m2,"['52.52449', '13.41863']",2021/05/13 - 12:16:11,52.52449,13.41863
5,1719698,Berlin,Nürnberger Straße,EUR 900,EUR 1800,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'Private kitchenware', 'Washing machine', 'Closet', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Property: 22 m2,"['52.50027', '13.33596']",2021/05/13 - 12:16:13,52.50027,13.33596
6,1721868,Berlin,Otto-Braun-Straße,EUR 860,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Shared kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Property: 24 m2,"['52.52449', '13.41863']",2021/05/13 - 12:16:15,52.52449,13.41863
7,1208756,Berlin,Köpenicker Straße,EUR 900,EUR 1800,"['Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Property: 26 m2,"['52.5097', '13.42231']",2021/05/13 - 12:16:17,52.5097,13.42231
8,1699607,Berlin,Takustraße,EUR 990,EUR 0,"['Private facilities', 'Shared garden', 'Private Toilet', 'Private bathroom', 'No living room', 'No kitchen', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Property: 4000 m2,"['52.45695', '13.29344']",2021/05/13 - 12:16:19,52.45695,13.29344
9,1643513,Berlin,Köpenicker Straße,EUR 950,EUR 1900,"['Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Property: 26 m2,"['52.5097', '13.42231']",2021/05/13 - 12:16:21,52.5097,13.42231
10,1717426,Berlin,Koburger Straße,EUR 950,EUR 2000,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Property: 30 m2,"['52.4815', '13.34618']",2021/05/13 - 12:16:25,52.4815,13.34618
11,1208758,Berlin,Köpenicker Straße,EUR 1200,EUR 2400,"['Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Smoking allowed only outside', 'Playing Musical Instruments not allowed', 'Pets not allowed']",Property: 41 m2,"['52.5097', '13.42231']",2021/05/13 - 12:16:27,52.5097,13.42231
12,1647377,Berlin,Kurfürstenstraße,EUR 1200,EUR 2400,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Bed', 'Bedroom lock', 'Private kitchenware', 'Washing machine', 'Closet', 'Smoking allowed only outside', 'Pets not allowed']",Property: 37 m2,"['52.49943', '13.36596']",2021/05/13 - 12:16:29,52.49943,13.36596
13,1634187,Berlin,Heidenfeldstraße,EUR 1100,EUR 2200,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Property: 43 m2,"['52.52587', '13.45003']",2021/05/13 - 12:16:31,52.52587,13.45003
14,1724311,Berlin,Triftstraße,EUR 800,EUR 900,"['Private living room', 'Private Toilet', 'Private kitchen', 'No Parking', 'No garden', 'No basement', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Property: 37 m2,"['52.54336', '13.35664']",2021/05/13 - 12:16:33,52.54336,13.35664
15,1172033,Berlin,Hildegard-Jadamowitz-Straße,EUR 1040,EUR 500,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Smoking allowed only outside', 'Playing Musical Instruments not allowed', 'Pets not allowed']",Property: 39 m2,"['52.515991', '13.4416672']",2021/05/13 - 12:16:35,52.515991,13.4416672
